category,name,url,final_url,status,title,error
AutoGen,Memory,https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/memory.html,https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/memory.html,200,Memory and RAG &#8212; AutoGen,
CrewAI,Memory,https://docs.crewai.com/en/concepts/memory,https://docs.crewai.com/en/concepts/memory,,,"SSLError: HTTPSConnectionPool(host='docs.crewai.com', port=443): Max retries exceeded with url: /en/concepts/memory (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_E"
Semantic Kernel,Agent memory plugins,https://learn.microsoft.com/en-us/semantic-kernel/concepts/vector-store-connectors/,https://learn.microsoft.com/en-us/semantic-kernel/concepts/vector-store-connectors/,200,What are Semantic Kernel Vector Stores? (Preview) | Microsoft Learn,
Letta,Memory blocks,https://docs.letta.com/guides/agents/memory,https://docs.letta.com/guides/core-concepts/stateful-agents,200,Introduction to Stateful Agents | Letta Docs,
MCP,Specification,https://modelcontextprotocol.io/specification/2025-06-18,https://modelcontextprotocol.io/specification/2025-06-18,200,Specification - Model Context Protocol,
MCP,Tools,https://modelcontextprotocol.io/specification/2025-06-18/server/tools,https://modelcontextprotocol.io/specification/2025-06-18/server/tools,200,Tools - Model Context Protocol,
MCP,Resources,https://modelcontextprotocol.io/specification/2025-06-18/server/resources,https://modelcontextprotocol.io/specification/2025-06-18/server/resources,200,Resources - Model Context Protocol,
MCP,Prompts,https://modelcontextprotocol.io/specification/2025-06-18/server/prompts,https://modelcontextprotocol.io/specification/2025-06-18/server/prompts,200,Prompts - Model Context Protocol,
MCP,Roots,https://modelcontextprotocol.io/specification/2025-06-18/client/roots,https://modelcontextprotocol.io/specification/2025-06-18/client/roots,200,Roots - Model Context Protocol,
MCP,Sampling,https://modelcontextprotocol.io/specification/2025-06-18/client/sampling,https://modelcontextprotocol.io/specification/2025-06-18/client/sampling,200,Sampling - Model Context Protocol,
MCP,Elicitation,https://modelcontextprotocol.io/specification/2025-06-18/client/elicitation,https://modelcontextprotocol.io/specification/2025-06-18/client/elicitation,200,Elicitation - Model Context Protocol,
AG-UI,Introduction,https://docs.ag-ui.com/introduction,https://docs.ag-ui.com/introduction,200,AG-UI Overview - Agent User Interaction Protocol,
AG-UI,State,https://docs.ag-ui.com/concepts/state,https://docs.ag-ui.com/concepts/state,200,State Management - Agent User Interaction Protocol,
AG-UI,Events,https://docs.ag-ui.com/concepts/events,https://docs.ag-ui.com/concepts/events,200,Events - Agent User Interaction Protocol,
A2A,GitHub,https://github.com/a2aproject/A2A,https://github.com/a2aproject/A2A,200,GitHub - a2aproject/A2A: Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications. · GitHub,
A2A,Google announcement,https://developers.googleblog.com/en/a2a-a-new-era-of-agent-interoperability/,https://developers.googleblog.com/en/a2a-a-new-era-of-agent-interoperability/,200,Announcing the Agent2Agent Protocol (A2A) - Google Developers Blog,
Aider,Repo map,https://aider.chat/docs/repomap.html,https://aider.chat/docs/repomap.html,200,Repository map | aider,
Aider,Repo map blog,https://aider.chat/2023/10/22/repomap.html,https://aider.chat/2023/10/22/repomap.html,200,Building a better repository map with tree sitter | aider,
Continue,Context providers,https://docs.continue.dev/customize/deep-dives/custom-providers,https://docs.continue.dev/customize/deep-dives/custom-providers,200,Context Providers | Continue - Docs,
OpenHands,SDK,https://docs.openhands.dev/sdk,https://docs.openhands.dev/sdk,200,Software Agent SDK - OpenHands Docs,
OpenHands,Agent server,https://docs.openhands.dev/sdk/guides/agent-server/overview,https://docs.openhands.dev/sdk/guides/agent-server/overview,,,"ConnectionError: HTTPSConnectionPool(host='docs.openhands.dev', port=443): Read timed out."
OpenHands,Agent API,https://docs.openhands.dev/sdk/api-reference/openhands.sdk.agent,https://docs.openhands.dev/sdk/api-reference/openhands.sdk.agent,200,openhands.sdk.agent - OpenHands Docs,
OpenHands,Runtime,https://docs.openhands.dev/modules/usage/how-to/runtimes,https://docs.openhands.dev/openhands/usage/how-to/runtimes,404,"<!DOCTYPE html><html id=""__next_error__""><head><meta charSet=""utf-8""/><meta name",
Cline,MCP docs,https://docs.cline.bot/mcp/mcp-overview,https://docs.cline.bot/mcp/mcp-overview,200,MCP - Cline,
Temporal,Workflows,https://docs.temporal.io/workflows,https://docs.temporal.io/workflows,200,Temporal Workflow | Temporal Platform Documentation,
Temporal,Event history,https://docs.temporal.io/workflow-execution/event,https://docs.temporal.io/workflow-execution/event,200,Events and Event History | Temporal Platform Documentation,
Argo Workflows,DAG,https://argo-workflows.readthedocs.io/en/latest/walk-through/dag/,https://argo-workflows.readthedocs.io/en/latest/walk-through/dag/,200,DAG - Argo Workflows - The workflow engine for Kubernetes,
Apache Airflow,DAGs,https://airflow.apache.org/docs/apache-airflow/stable/core-concepts/dags.html,https://airflow.apache.org/docs/apache-airflow/stable/core-concepts/dags.html,200,Dags &mdash; Airflow 3.3.0 Documentation,
Dagster,Assets,https://docs.dagster.io/guides/build/assets,https://docs.dagster.io/guides/build/assets,200,Assets | Dagster Docs,
Prefect,Flows,https://docs.prefect.io/v3/concepts/flows,https://docs.prefect.io/v3/concepts/flows,200,Flows - Prefect,
Node-RED,Creating nodes,https://nodered.org/docs/creating-nodes/,https://nodered.org/docs/creating-nodes/,200,Creating Nodes : Node-RED,
n8n,Creating nodes,https://docs.n8n.io/integrations/creating-nodes/overview/,https://docs.n8n.io/integrations/creating-nodes/overview/,,,"ConnectionError: HTTPSConnectionPool(host='docs.n8n.io', port=443): Read timed out."
ComfyUI,Custom nodes,https://docs.comfy.org/custom-nodes/overview,https://docs.comfy.org/custom-nodes/overview,,,"ConnectionError: ('Connection aborted.', ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。'))"
W3C PROV,Overview,https://www.w3.org/TR/prov-overview/,https://www.w3.org/TR/prov-overview/,200,PROV-Overview,
W3C PROV,Data model,https://www.w3.org/TR/prov-dm/,https://www.w3.org/TR/prov-dm/,,,"SSLError: HTTPSConnectionPool(host='www.w3.org', port=443): Max retries exceeded with url: /TR/prov-dm/ (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_REA"
OpenLineage,Spec,https://openlineage.io/docs/spec/object-model/,https://openlineage.io/docs/spec/object-model/,200,Object Model | OpenLineage,
ML Metadata,Guide,https://www.tensorflow.org/tfx/guide/mlmd,https://www.tensorflow.org/tfx/guide/mlmd,,,"SSLError: HTTPSConnectionPool(host='www.tensorflow.org', port=443): Max retries exceeded with url: /tfx/guide/mlmd (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EO"
OpenTelemetry,Traces,https://opentelemetry.io/docs/concepts/signals/traces/,https://opentelemetry.io/docs/concepts/signals/traces/,200,Traces | OpenTelemetry,
OpenTelemetry,GenAI semantic conventions,https://opentelemetry.io/docs/specs/semconv/gen-ai/,https://opentelemetry.io/docs/specs/semconv/gen-ai/,200,Moved: Generative AI semantic conventions | OpenTelemetry,
Langfuse,Tracing,https://langfuse.com/docs/tracing,https://langfuse.com/docs/observability/overview,200,LLM Observability &amp; Application Tracing (Open Source) - Langfuse,
Arize Phoenix,Tracing,https://arize.com/docs/phoenix/tracing/llm-traces-1,https://arize.com/docs/phoenix/get-started/get-started-tracing,200,Send Traces From Your App - Phoenix,
Weights & Biases Weave,Tracing,https://weave-docs.wandb.ai/guides/tracking/tracing,https://weave-docs.wandb.ai/guides/tracking/tracing,,,"SSLError: HTTPSConnectionPool(host='weave-docs.wandb.ai', port=443): Max retries exceeded with url: /guides/tracking/tracing (Caused by SSLError(SSLEOFError(8, '[SSL: UNE"
VS Code,Contribution points,https://code.visualstudio.com/api/references/contribution-points,https://code.visualstudio.com/api/references/contribution-points,200,Contribution Points | Visual Studio Code Extension API,
VS Code,Extension manifest,https://code.visualstudio.com/api/references/extension-manifest,https://code.visualstudio.com/api/references/extension-manifest,200,Extension Manifest | Visual Studio Code Extension API,
Backstage,Plugins,https://backstage.io/docs/plugins/,https://backstage.io/docs/plugins/,200,Introduction to Plugins (Legacy) | Backstage Software Catalog and Developer Platform,
Backstage,Software catalog,https://backstage.io/docs/features/software-catalog/,https://backstage.io/docs/features/software-catalog/,200,Backstage Software Catalog | Backstage Software Catalog and Developer Platform,
Backstage,Software templates,https://backstage.io/docs/features/software-templates/,https://backstage.io/docs/features/software-templates/,200,Backstage Software Templates | Backstage Software Catalog and Developer Platform,
Docker,MCP Catalog and Toolkit,https://docs.docker.com/ai/mcp-catalog-and-toolkit/,https://docs.docker.com/ai/mcp-catalog-and-toolkit/,200,Docker MCP Catalog and Toolkit | Docker Docs,
Coolify,Docs,https://coolify.io/docs,https://coolify.io/docs,200,Coolify Docs,
Docker Compose,Overview,https://docs.docker.com/compose/,https://docs.docker.com/compose/,200,Docker Compose | Docker Docs,
Jupyter,Notebook documents,https://docs.jupyter.org/en/latest/projects/architecture/content-architecture.html,https://docs.jupyter.org/en/latest/projects/architecture/content-architecture.html,200,Architecture &#8212; Jupyter Documentation 4.1.1 alpha documentation,
Observable Framework,Docs,https://observablehq.com/framework/,https://observablehq.com/framework/,200,Observable Framework,
Streamlit,Concepts,https://docs.streamlit.io/get-started/fundamentals/main-concepts,https://docs.streamlit.io/get-started/fundamentals/main-concepts,200,Basic concepts of Streamlit - Streamlit Docs,
Gradio,Guides,https://www.gradio.app/guides/quickstart,https://gradio.app/guides/quickstart,200,Quickstart,
Storybook,Docs,https://storybook.js.org/docs,https://storybook.js.org/docs,200,Get started with Storybook | Storybook docs,
JSON Schema,Overview,https://json-schema.org/overview/what-is-jsonschema,https://json-schema.org/overview/what-is-jsonschema,200,JSON Schema - What is JSON Schema?,
GitHub,Pull requests,https://docs.github.com/en/pull-requests,https://docs.github.com/en/pull-requests,200,Pull requests documentation - GitHub Docs,
GitHub,Issues,https://docs.github.com/en/issues,https://docs.github.com/en/issues,200,GitHub Issues documentation - GitHub Docs,
ADR,MADR template,https://adr.github.io/madr/,https://adr.github.io/madr/,200,About MADR | MADR,
Collaboration/CRDT,Yjs Docs,https://docs.yjs.dev/,https://docs.yjs.dev/,200,Introduction | Yjs Docs,
Collaboration/CRDT,Automerge Docs,https://automerge.org/docs/hello/,,,,"ReadTimeout: HTTPSConnectionPool(host='automerge.org', port=443): Read timed out. (read timeout=15)"
Local-first,Ink & Switch Local-first Software,https://www.inkandswitch.com/local-first/,https://www.inkandswitch.com/local-first/,200,,
Local-first,Cambria,https://www.inkandswitch.com/cambria/,https://www.inkandswitch.com/cambria/,200,Project Cambria: Translate your data with lenses,
Malleable software,Potluck,https://www.inkandswitch.com/potluck/,https://www.inkandswitch.com/potluck/,200,Potluck: Dynamic documents as personal software,
Workflow standards,BPMN 2.0.2,https://www.omg.org/spec/BPMN/2.0.2/,,,,"ConnectionError: HTTPSConnectionPool(host='www.omg.org', port=443): Read timed out."
Workflow standards,CMMN 1.1,https://www.omg.org/spec/CMMN/1.1/,https://www.omg.org/spec/CMMN/1.1/,200,About the Case Management Model and Notation Specification Version 1.1,
Agent research,ReAct,https://arxiv.org/abs/2210.03629,https://arxiv.org/abs/2210.03629,200,[2210.03629] ReAct: Synergizing Reasoning and Acting in Language Models,
Agent research,Reflexion,https://arxiv.org/abs/2303.11366,https://arxiv.org/abs/2303.11366,200,[2303.11366] Reflexion: Language Agents with Verbal Reinforcement Learning,
Agent research,LLM Autonomous Agents Survey,https://arxiv.org/abs/2308.11432,https://arxiv.org/abs/2308.11432,200,[2308.11432] A Survey on Large Language Model based Autonomous Agents,
Agent research,SWE-bench,https://arxiv.org/abs/2310.06770,https://arxiv.org/abs/2310.06770,200,[2310.06770] SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,
Agent research,Agent Workflow Memory survey,https://arxiv.org/abs/2404.13501,https://arxiv.org/abs/2404.13501,200,[2404.13501] A Survey on the Memory Mechanism of Large Language Model based Agents,
Code agents,OpenDevin/OpenHands paper,https://arxiv.org/abs/2407.16741,https://arxiv.org/abs/2407.16741,200,[2407.16741] OpenHands: An Open Platform for AI Software Developers as Generalist Agents,
Trace/Observability,OpenInference,https://github.com/Arize-ai/openinference,https://github.com/Arize-ai/openinference,200,GitHub - Arize-ai/openinference: OpenTelemetry Instrumentation for AI Observability · GitHub,
Trace/Observability,LangSmith Observability,https://docs.smith.langchain.com/observability,https://docs.langchain.com/langsmith/observability,200,LangSmith Observability - Docs by LangChain,
Plugin ecosystems,Eclipse Theia extensions,https://theia-ide.org/docs/extensions/,https://theia-ide.org/docs/extensions/,200,Extensions,
Plugin ecosystems,JetBrains Plugin Structure,https://plugins.jetbrains.com/docs/intellij/plugin-configuration-file.html,https://plugins.jetbrains.com/docs/intellij/plugin-configuration-file.html,200,Plugin Configuration File | IntelliJ Platform Plugin SDK,
Deployment,DevPod,https://devpod.sh/docs/what-is-devpod,https://devpod.sh/docs/what-is-devpod,200,What is DevPod? | DevPod docs | DevContainers everywhere,
Deployment,Dev Containers specification,https://containers.dev/implementors/spec/,https://containers.dev/implementors/spec/,200,Development Container Specification,
Deployment,OpenContainers Runtime Spec,https://github.com/opencontainers/runtime-spec,https://github.com/opencontainers/runtime-spec,200,GitHub - opencontainers/runtime-spec: OCI Runtime Specification · GitHub,
