category,name,type,authority,url,why
MCP/工具接入,MCPHub GitHub,开源项目,C,https://github.com/samanhappy/mcphub,多 MCP Server 管理与聚合。
版本/协作,Git Documentation,官方文档,A,https://git-scm.com/doc,代码和文档快照版本管理基础。
版本/协作,GitHub Docs Pull Requests,官方文档,A,https://docs.github.com/en/pull-requests,PR、review、讨论、合并是工作流变更提案参考模型。
版本/协作,GitHub Docs Issues and Projects,官方文档,A,https://docs.github.com/en/issues,Issue、Project、任务跟踪可作为工作流节点与任务资产。
版本/协作,GitHub Flow,官方指南,A,https://docs.github.com/en/get-started/using-github/github-flow,轻量分支协作模型，可借鉴“变更提案→评审→合并”。
版本/协作,DVC Documentation,官方文档/开源项目,A/C,https://dvc.org/doc,数据、模型、实验、pipeline 版本管理。
版本/协作,lakeFS Documentation,官方文档/开源项目,A/C,https://docs.lakefs.io/,Git-like 数据版本管理。
实时协作,Yjs Documentation,官方文档/开源项目,A/C,https://docs.yjs.dev/,CRDT 实时协作基础。
实时协作,Automerge Documentation,官方文档/开源项目,A/C,https://automerge.org/docs/,本地优先协作和 CRDT。
本地优先,Local-first software - Ink & Switch,研究文章,B/D,https://www.inkandswitch.com/local-first/,本地优先、用户拥有数据、同步协作理念。
